longitude,latitude,direction
-17.63204220537859,65.47813007439906,142.39901798268565
-17.63384783589188,65.49605554227833,140.07626179461457
-17.635656201786887,65.51398094141354,137.80343854160043
-17.63746730904689,65.53190627177105,135.5843649207135
-17.639281163672685,65.54983153331692,133.4223242815915
-17.64109777168266,65.5677567260172,131.3200889946923
-17.49683014381368,64.51076521329675,-137.84283964920974
-17.498469242029067,64.52869491853173,-133.72063052891002
-17.500110737170896,64.54662455738483,-124.63341169175663
-17.501754634281212,64.56455412983124,-111.70170516842146
-17.50340093841627,64.58248363584596,-104.7282419703548
-17.50504965464659,64.60041307540398,-105.63463915286307
-17.50670078805699,64.61834244848006,-108.83346436123054
-17.50835434374665,64.63627175504897,-110.77780847633508
-17.510010326829153,64.65420099508519,-111.67582364046142
-17.511668742432562,64.67213016856326,-112.29868519039024
-17.513329595699417,64.69005927545749,-113.01536884638584
-17.51499289178685,64.70798831574206,-113.9623006278253
-17.516658635866587,64.72591728939115,-115.19037307389696
-17.518326833125027,64.74384619637867,-116.72270174719714
-17.519997488763288,64.76177503667853,-118.57196175961376
-17.521670607997244,64.77970381026442,-120.74366794167078
-17.523346196057613,64.79763251710997,-123.2366155419589
-17.52502425818996,64.81556115718868,-126.04447471999428
-17.526704799654794,64.8334897304739,-129.15958144385695
-17.528387825727606,64.85141823693893,-132.579756597982
-17.53007334169891,64.8693466765568,-136.32164052471873
-17.531761352874305,64.88727504930057,-140.4534540756751
-17.533451864574545,64.90520335514307,-145.19833430424092
-17.535144882135558,64.92313159405704,-151.3852827566922
-17.536840410908543,64.94105976601517,-164.02440079323847
-17.538538456259975,64.95898787098989,144.2938960560674
-17.540239023571715,64.97691590895354,-56.164046503965686
-17.541942118241014,64.9948438798784,-63.13970888686976
-17.543647745680605,65.01277178373658,-67.85393115532248
-17.545355911318733,65.03069962050003,-71.73981461521846
-17.547066620599225,65.0486273901406,-75.18798557232356
-17.54877987898155,65.06655509263001,-78.36351717106025
-17.55049569194085,65.08448272793987,-81.36598474352385
-17.552214064968034,65.10241029604163,-84.27619083774502
-17.553935003569794,65.12033779690658,-87.17567711308958
-17.555658513268703,65.13826523050595,-90.16138588355588
-17.557384599603232,65.1561925968108,-93.36739604475936
-17.559113268127835,65.174119895792,-97.01204542748376
-17.560844524413003,65.19204712742042,-101.52170281322768
-17.5625783740453,65.20997429166668,-107.91427698487811
-17.564314822627463,65.22790138850131,-119.1333019648437
-17.566053875778405,65.24582841789469,-141.63849700021063
-17.567795539133325,65.26375537981708,-165.66314932618198
-17.56953981834374,65.28168227423859,-178.0687760668121
-17.57128671907754,65.29960910112918,174.93803215635032
-17.57303624701908,65.31753586045873,169.98870944392723
-17.574788407869185,65.33546255219693,165.95543623671082
-17.576543207345264,65.35338917631331,162.40124765693503
-17.578300651181337,65.37131573277733,159.13053908938204
-17.58006074512811,65.38924222155826,156.04649597030786
-17.58182349495303,65.40716864262527,153.09795607007928
-17.583588906440347,65.4250949959473,150.25678957069488
-17.585356985391172,65.44302128149327,147.50723853023038
-17.587127737623533,65.46094749923185,144.8404925149838
-17.588901168972477,65.47887364913166,142.25176433479135
-17.590677285290056,65.49679973116109,139.7386403927914
-17.59245609244547,65.51472574528844,137.3001124139235
-17.594237596325073,65.53265169148187,134.93598584795512
-17.59602180283246,65.55057756970938,132.64650214242656
-17.597808717888533,65.56850337993879,130.43208621579842
-17.45521691423996,64.5114650746677,-134.9249811227361
-17.45682876210168,64.52939534179175,-134.00267992933126
-17.45844296717366,64.54732554327111,-132.2750391813908
-17.460059534414793,64.56525567908248,-129.13497943191172
-17.461678468797952,64.58318574920249,-123.06232253278507
-17.463299775310027,64.6011157536076,-114.662388135143
-17.464923458951986,64.61904569227426,-111.19824005745622
-17.466549524738934,64.63697556517872,-111.59663403870744
-17.468177977700115,64.6549053722971,-112.36101746939671
-17.46980882287902,64.67283511360549,-112.901069783495
-17.471442065333413,64.69076478907982,-113.40690961287098
-17.473077710135367,64.7086943986959,-114.06897452289977
-17.474715762371343,64.72662394242943,-114.99736353377254
-17.47635622714221,64.74455342025603,-116.24377844834235
-17.477999109563335,64.7624828321511,-117.82591344565894
-17.47964441476459,64.78041217809003,-119.74142604735265
-17.481292147890436,64.79834145804809,-121.97367106349306
-17.48294231409996,64.81627067200033,-124.493510859824
-17.484594918566945,64.83419981992176,-127.2591015121482
-17.486249966479882,64.85212890178732,-130.2125261431511
-17.48790746304207,64.8700579175717,-133.26914871034123
-17.489567413471647,64.88798686724957,-136.28851847566358
-17.491229823001625,64.90591575079543,-138.9845546365754
-17.492894696879976,64.92384456818365,-140.5431114485691
-17.49456204036968,64.9417733193886,-136.61863807102114
-17.496231858748736,64.95970200438434,-91.30163198805826
-17.497904157310284,64.97763062314493,-76.47496547867314
-17.499578941362604,64.99555917564427,-76.45032182923856
-17.501256216229198,65.01348766185619,-78.3785172578357
-17.50293598724883,65.03141608175426,-80.80029297510902
-17.504618259775583,65.0493444353121,-83.35645429543465
-17.506303039178945,65.06727272250308,-85.93848594567754
-17.5079903308438,65.08520094330046,-88.52715763652137
-17.50968014017055,65.10312909767742,-91.14688877670312
-17.51137247257512,65.12105718560701,-93.85105857182032
