# @VGMT1.0 @GMULTILINESTRING
# @R-16.8742535489/-16.657581527/65.0095091627/65.1158027901              
# @Je4326
# @Jp"+proj=longlat +datum=WGS84 +no_defs "
# @Jw"GEOGCS[\"WGS 84\",DATUM[\"WGS_1984\",SPHEROID[\"WGS 84\",6378137,298.257223563,AUTHORITY[\"EPSG\",\"7030\"]],AUTHORITY[\"EPSG\",\"6326\"]],PRIMEM[\"Greenwich\",0,AUTHORITY[\"EPSG\",\"8901\"]],UNIT[\"degree\",0.0174532925199433,AUTHORITY[\"EPSG\",\"9122\"]],AUTHORITY[\"EPSG\",\"4326\"]]"
# @Nid
# @Tinteger
# FEATURE_DATA
>
# @D1
-16.772767292405174 65.043635559530799
-16.777749542524194 65.042384929439621
-16.778830212332824 65.041959404584674
-16.782731326006381 65.041134133253792
-16.787340314595479 65.040172045990033
-16.78951330679639 65.039173838389715
-16.78895132598646 65.037546427933862
-16.79048903466277 65.035802860176275
-16.791306453106596 65.034343024136419
-16.791812380513647 65.032437011600706
-16.792330387945526 65.030383985141796
-16.792116236852362 65.028761720147088
-16.789528378029164 65.026368417718217
-16.789601370001588 65.025486348352786
-16.789039671654781 65.023858935034113
-16.787123650750758 65.021769898431458
-16.784451582602546 65.02040558618009
-16.780687879752691 65.019613784445298
>
# @D1
-16.783499820513537 65.015092558398919
-16.774571489239968 65.013635118842927
-16.761472993759149 65.01211471027294
-16.755563915306119 65.012026060730093
-16.747916930860598 65.011910991025161
-16.739264562236254 65.01133873197017
-16.73515590636373 65.010540523402085
-16.726491749769327 65.010114532255898
-16.720968394949328 65.009588783625333
-16.715755112369532 65.009509162682008
-16.711211782073363 65.009734021591029
-16.707003318643039 65.010111082276239
-16.704197610423144 65.010362390220664
-16.698598694404541 65.010717843754392
-16.693732820105424 65.010642808281261
-16.690553961615141 65.011182502088403
-16.686692551106457 65.011564363102408
-16.682110378587325 65.012229347138529
-16.680257640696794 65.013525399741837
-16.67625513273526 65.015524020409742
-16.671929996607968 65.017223113834802
-16.671415809606284 65.019128721588487
-16.671210799141946 65.021480750401622
-16.672435093481432 65.023413438900832
-16.673736378360399 65.024464105388901
-16.673557139081396 65.026522131895092
-16.675040047597783 65.029489222392485
-16.675929950803333 65.031269469029709
-16.676459332160789 65.033191306841914
-16.678057986040635 65.034835347223677
-16.67760782917237 65.03600596127562
-16.678175776646508 65.03748678577054
-16.680560051378023 65.038112585283443
-16.684000965315956 65.038607511802411
-16.690497087630781 65.040032764068926
-16.691723628061442 65.041965289417533
-16.694367718795348 65.043625259662861
-16.69660069564792 65.04601484180796
-16.697865993325173 65.047506304971037
-16.703668896879524 65.048920270531781
-16.704795651384757 65.052028717261976
-16.706011139847238 65.054108125952126
-16.707239450212093 65.056040520032894
-16.70979756609804 65.058729242420341
-16.712843069463769 65.05980619256087
-16.713837295096912 65.060410169726907
>
# @D1
-16.71726968419847 65.073268654718575
-16.721723298948653 65.074219652929344
-16.724086781155254 65.075138764991223
-16.726488033786165 65.075616823854205
-16.729611252828281 65.075811398597736
-16.730631481092406 65.076121251718916
-16.731017435972372 65.075685513880998
-16.733867247089506 65.074992687175651
-16.737015401685277 65.074893095801229
-16.739404399520559 65.075517953816941
-16.743908938830362 65.075880266812035
-16.745277761650481 65.076195268391416
-16.747318635179578 65.0768147542599
-16.747965832970291 65.077413262078053
-16.74894909722105 65.078164011382142
-16.750604533310234 65.079219236102333
-16.751264264235044 65.079670722267338
-16.754027277121107 65.0800065632247
-16.75715121085895 65.080200563751532
-16.760611324048917 65.080546717273549
-16.76653560197882 65.080635166080611
-16.770020489688875 65.08068708538714
-16.772808409620268 65.080728562483401
-16.777027084182205 65.08034965288239
-16.780511954944096 65.0804013282158
-16.788875699791365 65.080525018370651
-16.7958212347455 65.080921758639548
-16.800375975339378 65.080694330137618
-16.803536666057557 65.080446329927682
-16.807766948500397 65.079919543478709
-16.811600310262634 65.07997559555406
-16.814400272936084 65.079869286728538
-16.815842403595667 65.079301568935591
-16.818726480723992 65.078166091563531
-16.819147103249961 65.077289088915265
-16.820601010785857 65.076574312258529
-16.824481902618665 65.076041982982474
-16.830116770640441 65.075387790314636
-16.832639449527161 65.074394009688731
-16.839042079790847 65.072867479771134
-16.843341799279944 65.071457601269728
-16.844109878404986 65.070585544667907
-16.84564588602143 65.068841419297129
-16.847482559664023 65.067690346994468
-16.85104883043272 65.066711274851031
-16.854242875032632 65.066021157840154
-16.858168781741547 65.064899891620968
-16.861096654569238 65.063175531464111
-16.862259307800201 65.061720290278657
-16.864094774747389 65.060569013055257
-16.866278313377016 65.059422677584621
-16.86668532249541 65.058692556184653
-16.866755852966353 65.057810453997533
-16.86585234200783 65.056031357698643
-16.867675514479643 65.055027052628347
-16.868454069581002 65.054007851880726
-16.868583242047059 65.052390661754487
-16.868340795468054 65.051062546972176
-16.868446477149931 65.049739390949071
-16.869236585664801 65.048573167946998
-16.869353948840097 65.047102993320621
-16.870143939713127 65.045936765072796
-16.872267429118537 65.045525427677219
